municipio,populacao_2022,pib_mil_reais
Abadia Dos Dourados,2296030,4481803
Abaeté,1656721,9239131
Abre Campo,1452800,8451120
Acaiaca,630615,70542804
Açucena,1648593,37201506
Água Boa,688608,74850037
Água Comprida,773370,57546042
Aguanil,836549,13410653
Águas Formosas,2191523,39110162
Águas Vermelhas,2002238,7164525
Aimorés,448296,82258844
Aiuruoca,1587034,79533371
Alagoa,2462113,51091887
Albertina,1612431,5448797
Além Paraíba,1817026,24002204
Alfenas,2395493,75329376
Alfredo Vasconcelos,2423684,68397943
Almenara,975380,63463133
Alpercata,1084938,35843226
Alpinópolis,1848174,39862224
Alterosa,1593874,46246411
Alto Caparaó,804250,76072874
Alto Rio Doce,1965985,37154469
Alvarenga,883096,14230669
Alvinópolis,1193181,40036611
Alvorada De Minas,1659971,29717067
Amparo Do Serra,241101,36747741
Andradas,1667489,29535814
Cachoeira De Pajeú,266674,63532371
Andrelândia,513238,46480346
Angelândia,1132198,71969178
Antônio Carlos,1248330,27756933
Antônio Dias,1994355,47410206
Antônio Prado De Minas,633386,69147982
Araçaí,1650394,84852678
Aracitaba,2402052,51172422
Araçuaí,1426087,56229344
Araguari,1655504,32642573
Arantina,822095,21032394
Araponga,1884231,77179827
Araporã,151751,28612965
Arapuá,206427,33872407
Araújos,689546,28637116
Araxá,1329131,68745343
Arceburgo,1546724,56441165
Arcos,912240,67327763
Areado,1654503,71265657
Argirita,2264701,72737810
Aricanduva,2223901,22316981
Arinos,1582962,70126808
Astolfo Dutra,869664,82686262
Ataléia,722509,30821054
Augusto De Lima,160915,46887087
Baependi,1679715,60863676
Baldim,1918868,9969615
Bambuí,1057640,60888887
Bandeira,1169332,18898243
Bandeira Do Sul,879201,20015738
Barão De Cocais,2375154,69470447
Barão De Monte Alto,1454786,35533805
Barbacena,2299532,75407751
Barra Longa,1527626,13043209
Barroso,2235589,15666062
Bela Vista De Minas,1124420,70587225
Belmiro Braga,154124,32878009
Belo Horizonte,908215,7978394
Belo Oriente,1123920,32589627
Belo Vale,1912811,85908071
Berilo,1749999,55247306
Bertópolis,1047579,84099585
Berizal,1731767,29037265
Betim,1864989,18023138
Bias Fortes,2410863,53617068
Bicas,1055677,60219420
Biquinhas,1102725,64415591
Boa Esperança,1183211,63971619
Bocaina De Minas,517732,33650020
Bocaiúva,1536275,34120803
Bom Despacho,1763577,23162466
Bom Jardim De Minas,2284617,13088293
Bom Jesus Da Penha,1302862,80922523
Bom Jesus Do Amparo,1748253,19533032
Bom Jesus Do Galho,619834,33050704
Bom Repouso,83129,30695950
Bom Sucesso,544111,34625508
Bonfim,1352678,47763308
Bonfinópolis De Minas,197927,9102629
Bonito De Minas,711413,82538099
Borda Da Mata,776723,74702020
Botelhos,1813177,48676406
Botumirim,1390955,66388677
Brasilândia De Minas,1812973,10185237
Brasília De Minas,2094110,88464065
Brás Pires,2401644,47764467
Braúnas,1133764,68160323
Brazópolis,1057196,54029713
Brumadinho,256247,37133636
Bueno Brandão,357735,71801053
Buenópolis,91099,76726771
Bugre,1114975,56546114
Buritis,128985,8993413
Buritizeiro,1722394,30400667
Cabeceira Grande,1509992,79466534
Cabo Verde,1681726,59369952
Cachoeira Da Prata,1571369,7375984
Cachoeira De Minas,1365449,14501408
Cachoeira Dourada,1222683,64446059
Caetanópolis,1097557,56449527
Caeté,1074151,76810828
Caiana,1681813,76247212
Cajuri,1552326,15662462
Caldas,67459,555621
Camacho,1487852,85362681
Camanducaia,2303602,35832665
Cambuí,1350969,74816844
Cambuquira,1022839,32175155
Campanário,2459730,24845879
Campanha,2150999,74930180
Campestre,304141,9626623
Campina Verde,2417348,7881905
Campo Azul,207624,28024988
Campo Belo,1067566,26745412
Campo Do Meio,846631,12726119
Campo Florido,297895,34406859
Campos Altos,1498587,67471246
Campos Gerais,601983,35747542
Canaã,139971,37652786
Canápolis,551593,57425344
Cana Verde,364882,3621953
Candeias,1662927,29867620
Cantagalo,1284991,34054710
Caparaó,1579219,35462014
Capela Nova,155336,34744770
Capelinha,2209970,51020926
Capetinga,2028255,72776553
Capim Branco,385266,76321811
Capinópolis,2305576,77905881
Capitão Andrade,2438528,64058628
Capitão Enéas,1663694,65618845
Capitólio,1925188,48238106
Caputira,1464027,28782672
Caraí,834363,17386841
Caranaíba,694740,34133536
Carandaí,2209336,39542969
Carangola,392761,34199207
Caratinga,2456384,26029951
Carbonita,2010204,11268845
Careaçu,744591,41705656
Carlos Chagas,2472072,11587225
Carmésia,332087,55636165
Carmo Da Cachoeira,468245,62750075
Carmo Da Mata,202808,3332728
Carmo De Minas,1999726,36917829
Carmo Do Cajuru,1903398,8992610
Carmo Do Paranaíba,2398918,33798100
Carmo Do Rio Claro,1534540,33165500
Carmópolis De Minas,1580255,5683214
Carneirinho,1985034,79433546
Carrancas,654692,12051584
Carvalhópolis,1551747,25976203
Carvalhos,238800,47899715
Casa Grande,1302080,27951405
Cascalho Rico,109742,57140906
Cássia,1649934,63063924
Conceição Da Barra De Minas,8300,33033476
Cataguases,22519,76511983
Catas Altas,1908248,21944888
Catas Altas Da Noruega,1099601,61117257
Catuji,1205331,74450428
Catuti,1017211,64501869
Caxambu,960434,8645003
Cedro Do Abaeté,1218745,81715068
Central De Minas,931077,77485645
Centralina,1028591,7195200
Chácara,1275161,33733971
Chalé,357742,56978736
Chapada Do Norte,1875365,32865061
Chapada Gaúcha,1117936,79301906
Chiador,1895563,2332813
Cipotânea,1108026,12208676
Claraval,28302,73043720
